iter	Logloss
0	0.6873609436
1	0.6818308979
2	0.6765134243
3	0.671361036
4	0.6663743688
5	0.6614845154
6	0.6568514442
7	0.6523168442
8	0.6479228605
9	0.6436474871
10	0.6395450859
11	0.6355916987
12	0.6317747134
13	0.6280188017
14	0.6244072402
15	0.6209237217
16	0.6175334381
17	0.6142237473
18	0.6109830591
19	0.6078565441
20	0.6048400294
21	0.6019155138
22	0.5990559621
23	0.5962729217
24	0.5935852017
25	0.5909758988
26	0.5884019196
27	0.5858687732
28	0.5833647247
29	0.5809862284
30	0.5786768924
31	0.576446971
32	0.5742757373
33	0.5721489158
34	0.5700721959
35	0.5679920251
36	0.566022356
37	0.5640442543
38	0.5621495973
39	0.5603014083
40	0.5584622022
41	0.5567299125
42	0.5549873515
43	0.5533443259
44	0.5517079107
45	0.5501619065
46	0.5486389629
47	0.5471305066
48	0.5456264178
49	0.5441484598
50	0.542715901
51	0.541343252
52	0.5400524174
53	0.5387721583
54	0.5374970509
55	0.5362744615
56	0.535101436
57	0.5339048018
58	0.5327586092
59	0.531586579
60	0.5304404412
61	0.5293738802
62	0.5283249933
63	0.5273105278
64	0.52632028
65	0.5253552072
66	0.5244273096
67	0.5234774086
68	0.5225978802
69	0.5217142627
70	0.5208499112
71	0.5199571736
72	0.5191099054
73	0.5182784617
74	0.5174897095
75	0.5166765364
76	0.5158853221
77	0.5151135253
78	0.5143475299
79	0.5136221338
80	0.512912248
81	0.5121894575
82	0.5115331343
83	0.510843923
84	0.5102352019
85	0.5095874094
86	0.5089746021
87	0.5083531644
88	0.5077666626
89	0.5071637996
90	0.5065972455
91	0.5060457539
92	0.5054849074
93	0.5049634184
94	0.5044251874
95	0.5039097948
96	0.5034321756
97	0.5029574198
98	0.502459401
99	0.5019851028
100	0.5015370722
101	0.5010999603
102	0.500706691
103	0.5002858282
104	0.4998440165
105	0.4994410256
106	0.4990402039
107	0.4986584962
108	0.4982528561
109	0.4978702456
110	0.4974759615
111	0.4971200589
112	0.496850567
113	0.4964888632
114	0.4961494168
115	0.4957979397
116	0.4954720676
117	0.4951349153
118	0.494808851
119	0.494476165
120	0.4941892145
121	0.4938703055
122	0.4935835052
123	0.4932953147
124	0.4930235692
125	0.4927848808
126	0.4925181436
127	0.4922540196
128	0.4919735818
129	0.4917191166
130	0.4914542235
131	0.4912327912
132	0.4910158368
133	0.490764665
134	0.4905242868
135	0.4903205693
136	0.490095202
137	0.4898711196
138	0.4896453463
139	0.4894759149
140	0.4892772814
141	0.4890968089
142	0.488913466
143	0.4887086628
144	0.4885571777
145	0.4883652314
146	0.4881596492
147	0.4879596536
148	0.487777426
149	0.4876255955
150	0.4874636485
151	0.4873064357
152	0.4871413649
153	0.4870197529
154	0.4868790332
155	0.4867472087
156	0.4866342307
157	0.4864839514
158	0.4863213602
159	0.4861805612
160	0.4860266165
161	0.4858904849
162	0.4857843784
163	0.4856472949
164	0.4855616565
165	0.4854321134
166	0.485305929
167	0.485200337
168	0.4850767438
169	0.4849715224
