iter	Passed	Remaining
0	10	1814
1	20	1739
2	29	1617
3	36	1515
4	45	1494
5	55	1506
6	63	1473
7	71	1443
8	78	1403
9	86	1389
10	98	1422
11	106	1399
12	113	1375
13	121	1357
14	129	1333
15	136	1310
16	142	1286
17	151	1275
18	160	1277
19	167	1259
20	174	1238
21	181	1218
22	188	1201
23	195	1189
24	203	1179
25	211	1169
26	217	1152
27	224	1138
28	231	1125
29	241	1125
30	248	1114
31	254	1098
32	260	1082
33	267	1070
34	273	1056
35	280	1043
36	287	1031
37	293	1018
38	301	1012
39	309	1007
40	317	998
41	324	989
42	331	978
43	338	969
44	346	961
45	351	948
46	358	936
47	364	925
48	370	914
49	376	903
50	383	893
51	389	883
52	396	875
53	403	867
54	411	859
55	418	851
56	425	842
57	431	833
58	438	825
59	447	820
60	455	813
61	463	807
62	470	799
63	476	789
64	483	781
65	489	771
66	495	762
67	503	754
68	509	746
69	515	736
70	521	727
71	529	721
72	537	714
73	543	705
74	550	696
75	556	687
76	561	678
77	568	670
78	575	663
79	582	654
80	588	646
81	594	637
82	601	630
83	608	623
84	615	615
85	623	608
86	629	600
87	635	592
88	641	583
89	647	575
90	656	569
91	663	562
92	670	555
93	676	547
94	685	540
95	691	533
96	698	525
97	707	519
98	713	511
99	720	504
100	725	495
101	731	487
102	740	481
103	747	474
104	753	466
105	759	458
106	766	451
107	772	443
108	779	436
109	785	428
110	791	420
111	796	412
112	801	404
113	807	396
114	812	388
115	819	381
116	825	373
117	831	366
118	837	358
119	843	351
120	849	343
121	854	336
122	861	329
123	869	322
124	875	315
125	882	308
126	890	301
127	895	293
128	901	286
129	908	279
130	914	272
131	920	265
132	926	257
133	932	250
134	938	243
135	943	235
136	949	228
137	956	221
138	962	214
139	970	207
140	977	201
141	983	193
142	988	186
143	994	179
144	1000	172
145	1005	165
146	1011	158
147	1017	151
148	1023	144
149	1030	137
150	1036	130
151	1041	123
152	1047	116
153	1053	109
154	1058	102
155	1063	95
156	1070	88
157	1076	81
158	1082	74
159	1089	68
160	1095	61
161	1100	54
162	1106	47
163	1113	40
164	1118	33
165	1124	27
166	1130	20
167	1136	13
168	1142	6
169	1147	0
